,property_type,seller,status,rate per sqft,price,area,location,RERA
449,2 BHK Apartment in Pragathi S Raghupathi County,Maaruthi Group,Under Construction,"5,650 / sq ft", 72.03 L,1275 ,Pragathi Nagar Kukatpally,approval by RERA
450,3 BHK Apartment in Pragathi S Raghupathi County,Maaruthi Group,Under Construction,"5,650 / sq ft", 1.09 Cr,1945 ,Pragathi Nagar Kukatpally,approval by RERA
451,3 BHK Apartment in Pragathi S Raghupathi County,Maaruthi Group,Under Construction,"5,650 / sq ft", 1.08 Cr,1915 ,Pragathi Nagar Kukatpally,approval by RERA
452,2 BHK Apartment in Pragathi S Raghupathi County,Maaruthi Group,Under Construction,"5,650 / sq ft", 74.86 L,1325 ,Pragathi Nagar Kukatpally,approval by RERA
453,3 BHK Apartment in Pragathi S Raghupathi County,Maaruthi Group,Under Construction,"5,650 / sq ft", 1.16 Cr,2070 ,Pragathi Nagar Kukatpally,approval by RERA
454,2 BHK Apartment in Pragathi S Raghupathi County,Maaruthi Group,Under Construction,"5,650 / sq ft", 75.42 L,1335 ,Pragathi Nagar Kukatpally,approval by RERA
455,3 BHK Apartment in Pragathi S Raghupathi County,Maaruthi Group,Under Construction,"5,650 / sq ft", 1.12 Cr,1990 ,Pragathi Nagar Kukatpally,approval by RERA
456,3 BHK Apartment in Pragathi S Raghupathi County,Maaruthi Group,Under Construction,"5,650 / sq ft", 1.17 Cr,2075 ,Pragathi Nagar Kukatpally,approval by RERA
457,2 BHK Apartment in Pragathi S Raghupathi County,Maaruthi Group,Under Construction,"5,650 / sq ft", 71.47 L,1265 ,Pragathi Nagar Kukatpally,approval by RERA
458,2 BHK Apartment,seller,Ready to move,"3,194 / sq ft", 23 L,720 ,Gulshan EIqbal Colony,not approval by RERA
459,2 BHK Apartment,seller,Ready to move,"3,500 / sq ft", 35 L,1000 ,Miyapur,not approval by RERA
460,3 BHK Apartment in APR Praveens Higheria,APR Group,Under Construction,"4,299 / sq ft", 58.25 L,1355 ,Patancheru,approval by RERA
461,2 BHK Apartment in APR Praveens Higheria,APR Group,Under Construction,"4,299 / sq ft", 48.36 L,1125 ,Patancheru,approval by RERA
462,3 BHK Villa in APR Vaarahi Praveens Hynora,APR Group,Under Construction,"5,970 / sq ft", 1.19 Cr,2010 ,Gagillapur,approval by RERA
463,3 BHK Villa in APR Vaarahi Praveens Hynora,APR Group,Under Construction,"5,984 / sq ft", 1.43 Cr,2390 ,Gagillapur,approval by RERA
464,3 BHK Villa in APR Vaarahi Praveens Hynora,APR Group,Under Construction,"5,965 / sq ft", 1.36 Cr,2280 ,Gagillapur,approval by RERA
465,3 BHK Villa in APR Vaarahi Praveens Hynora,APR Group,Under Construction,"6,000 / sq ft", 1.26 Cr,2100 ,Gagillapur,approval by RERA
466,3 BHK Villa in APR Vaarahi Praveens Hynora,APR Group,Under Construction,"5,984 / sq ft", 1.49 Cr,2490 ,Gagillapur,approval by RERA
467,3 BHK Villa in APR Vaarahi Praveens Hynora,APR Group,Under Construction,"5,992 / sq ft", 1.48 Cr,2470 ,Gagillapur,approval by RERA
468,4 BHK Independent House in APR Praveens Nature Phase II,APR Group,Under Construction,"6,796 / sq ft", 1.93 Cr,2840 ,Patancheru,approval by RERA
469,3 BHK Independent House in APR Praveens Nature Phase II,APR Group,Under Construction,"7,329 / sq ft", 1.55 Cr,2115 ,Patancheru,approval by RERA
470,3 BHK Independent House in APR Praveens Nature Phase II,APR Group,Under Construction,"7,345 / sq ft", 1.48 Cr,2015 ,Patancheru,approval by RERA
471,4 BHK Independent House in APR Praveens Nature Phase II,APR Group,Under Construction,"7,076 / sq ft", 1.89 Cr,2685 ,Patancheru,approval by RERA
472,4 BHK Villa in APR Praveens Crystal Avenue,APR Group,Under Construction,"7,485 / sq ft", 1.88 Cr,2525 ,Hayathnagar,approval by RERA
473,4 BHK Villa in APR Praveens Crystal Avenue,APR Group,Under Construction,"7,494 / sq ft", 1.65 Cr,2215 ,Hayathnagar,approval by RERA
474,8 BHK Independent House,seller,Ready to move,"6,172 / sq ft", 2.5 Cr,4050 ,Kothapet,not approval by RERA
475,4 BHK Apartment in Swaraj Homes Kendriya Vihar Phase 3,seller,Ready to move,"4,621 / sq ft", 77 L,1666 ,Bandlaguda Jagir,not approval by RERA
476,2 BHK Apartment in Provident Kenworth,seller,Ready to move,"6,896 / sq ft", 64 L,928 ,Rajendra Nagar,not approval by RERA
477,3 BHK Apartment,seller,Under Construction,"4,621 / sq ft", 55.5 L,1201 ,Bandlaguda Jagir,not approval by RERA
478,2 BHK Apartment in Spectra Metro Heights,seller,Ready to move,"6,067 / sq ft", 75 L,1236 ,Nagole,not approval by RERA
479,3 BHK Apartment in Empire Meadows,seller,Ready to move,"5,750 / sq ft", 69 L,1200 ,Miyapur,not approval by RERA
